h,CT,P_cong,R_all
0.05,10,0.00000000,0.9811
0.10,20,0.00000000,0.9811
0.15,20,0.00000000,0.9811
0.20,20,0.00000000,0.9817
0.25,20,0.00000000,0.9809
0.24,30,0.00000000,0.9811
0.25,30,0.00000000,0.9813
0.27,30,0.00000000,0.9808
