h,CT,P_cong,R_all
0.02,60,0.0000,0.9174
0.05,60,0.0000,0.9197
0.07,60,0.0000,0.9185
0.10,60,0.0000,0.9199
0.12,60,0.0000,0.9186
0.13,60,0.0000,0.9196
