h,CT,P_cong,R_all
0.01,60,0.0000,0.9205
0.03,60,0.0000,0.9191
0.05,60,0.0000,0.9207
0.07,60,0.0000,0.9179
0.07,80,0.0000,0.9205
0.08,80,0.0000,0.9177
0.09,80,0.0000,0.9198
0.10,80,0.0000,0.9180
0.12,80,0.0000,0.9194
0.13,80,0.0000,0.9203
