h,CT,P_cong,R_all
0.01,60,0.00000000,0.9876
0.03,60,0.00000000,0.9879
0.05,60,0.00000000,0.9876
0.07,60,0.00000000,0.9881
0.07,80,0.00000000,0.9877
0.08,80,0.00000000,0.9871
0.09,80,0.00000000,0.9882
0.10,80,0.00000000,0.9880
0.12,80,0.00000000,0.9875
0.13,80,0.00000000,0.9876
