h,CT,P_cong,R_all
0.02,60,0.00000000,0.9880
0.05,60,0.00000000,0.9873
0.07,60,0.00000000,0.9881
0.10,60,0.00000000,0.9882
0.12,60,0.00000000,0.9874
0.13,60,0.00000000,0.9881
0.14,60,0.00000000,0.9873
